observer,condition,trial,time_taken,acc,time_taken_s
43,feature,16,24.155842,0.6666666666666666,-1.123878854318808
43,feature,17,23.329534,0.5897435897435898,-1.296977805028401
43,feature,18,26.744748,0.6666666666666666,-0.6175450743899227
43,feature,19,25.01217,0.7692307692307693,-0.950630175780834
43,feature,20,31.583458,0.7692307692307693,0.20948007924083292
43,conjunction,1,47.115743,0.6153846153846154,2.1986411238875863
43,conjunction,2,44.65472,0.6153846153846154,1.9318413796778944
43,conjunction,3,43.893435,0.5641025641025641,1.846325459251896
43,conjunction,4,38.840775,0.5641025641025641,1.238128468048655
43,conjunction,5,42.41937,0.5128205128205128,1.67644158776329
43,conjunction,6,38.667831,0.5384615384615384,1.215935018424805
43,conjunction,7,32.656515,0.6923076923076923,0.3756400308380167
43,conjunction,8,33.032368,0.6153846153846154,0.4325514481161134
43,conjunction,9,37.775458,0.6153846153846154,1.0998181529557827
43,conjunction,10,32.576977,0.6923076923076923,0.3635124892679184
43,conjunction,11,33.006251,0.7435897435897436,0.4286178150441182
43,conjunction,12,34.836749,0.7948717948717948,0.6970522048551063
43,conjunction,13,33.105589,0.5128205128205128,0.4435631279443267
43,conjunction,14,32.362165,0.5128205128205128,0.33061050472201653
43,conjunction,15,33.383472,0.6923076923076923,0.4851333960536633
43,conjunction,16,42.892647,0.6153846153846154,1.7316211387868155
43,conjunction,17,36.520128,0.717948717948718,0.9317425233380414
43,conjunction,18,35.513496,0.6666666666666666,0.7927369356784447
43,conjunction,19,33.814459,0.5641025641025641,0.5489278231801735
43,conjunction,20,30.92107,0.717948717948718,0.1040691231542865
44,feature,1,38.676594,0.717948717948718,1.2170619364253956
44,feature,2,35.283716,0.717948717948718,0.7604545135400855
44,feature,3,35.072314,0.5641025641025641,0.7305678392257625
44,feature,4,39.367995,0.6410256410256411,1.305180434255462
44,feature,5,38.121341,0.717948717948718,1.1451472723161458
44,feature,6,38.544861,0.6153846153846154,1.2000941362533917
44,feature,7,33.937266,0.5897435897435898,0.566956828151741
44,feature,8,34.575547,0.8205128205128205,0.6596229953119962
44,feature,9,36.960317,0.7435897435897436,0.9913280964372243
44,feature,10,34.24663,0.5641025641025641,0.6120862177259436
44,feature,11,35.152566,0.6153846153846154,0.7419345174387054
44,feature,12,37.802303,0.5641025641025641,1.1033511064645969
44,feature,13,34.487692,0.6153846153846154,0.6469701472636896
44,feature,14,31.669369,0.6923076923076923,0.22298952769060068
44,feature,15,34.249924,0.5641025641025641,0.6125645430668852
44,feature,16,32.993048,0.6666666666666666,0.42662804987648356
44,feature,17,36.826358,0.48717948717948717,0.973270374916538
44,feature,18,38.530447,0.5897435897435898,1.198234029919651
44,feature,19,32.051347,0.6923076923076923,0.28261494383970237
44,conjunction,1,49.144568,0.4358974358974359,2.408308163998946
44,conjunction,2,46.536668,0.5897435897435898,2.1371390294370674
44,conjunction,3,43.55715,0.5897435897435898,1.808076868773385
44,conjunction,5,41.08226,0.717948717948718,1.5171555074653802
44,conjunction,6,43.505997,0.6666666666666666,1.8022329345974473
44,conjunction,7,43.584405,0.46153846153846156,1.8111877928544344
44,conjunction,8,43.838688,0.6153846153846154,1.8401186233849631
44,conjunction,9,38.302635,0.5641025641025641,1.1687424436417058
44,conjunction,10,51.767546,0.46153846153846156,2.666901718665506
44,conjunction,11,37.038014,0.5641025641025641,1.001771715037928
44,conjunction,12,35.538041,0.6923076923076923,0.7961729747552124
44,conjunction,13,58.559957,0.48717948717948717,3.2800398122655188
44,conjunction,14,36.536944,0.6923076923076923,0.9340319617312763
44,conjunction,15,40.677357,0.5384615384615384,1.4678966636132031
44,conjunction,16,44.02154,0.6153846153846154,1.8608189183382076
44,conjunction,17,41.359105,0.5384615384615384,1.5505566759790488
44,conjunction,18,44.955712,0.46153846153846156,1.9652506147781221
44,conjunction,19,40.40561,0.6153846153846154,1.4345612943753179
44,conjunction,20,38.971597,0.6153846153846154,1.2548509623561714
45,feature,1,27.29254,0.5641025641025641,-0.5167114133279666
45,feature,2,32.94904,0.5128205128205128,0.4199900457282274
45,feature,4,29.847334,0.6153846153846154,-0.07169628377319928
45,feature,5,26.670923,0.5897435897435898,-0.6312919360271684
45,feature,6,24.430604,0.5384615384615384,-1.0676298701320572
45,feature,7,26.505361,0.6153846153846154,-0.6622598962011108
45,feature,8,36.621338,0.4358974358974359,0.9455060129334454
45,feature,9,30.329944,0.48717948717948717,0.00807408612970511
45,feature,10,30.135603,0.48717948717948717,-0.023894723109833604
45,feature,11,33.523832,0.5128205128205128,0.5059993855175946
45,feature,12,35.573873,0.5128205128205128,0.801184815192735
45,feature,13,29.798495,0.5128205128205128,-0.07984061257455342
45,feature,14,34.659414,0.5384615384615384,0.6716715342725617
45,feature,15,38.75874,0.6666666666666666,1.2276134782676442
45,feature,16,36.331693,0.5128205128205128,0.9060154344916029
45,feature,17,37.551544,0.5384615384615384,1.0702516226516376
45,feature,18,31.976837,0.5384615384615384,0.27104018122830925
45,feature,19,31.959515,0.6666666666666666,0.26834542980909204
45,feature,20,28.789374,0.5897435897435898,-0.25117597694030797
45,conjunction,3,54.302072,0.48717948717948717,2.90461691197068
45,conjunction,4,57.084657,0.41025641025641024,3.1531440816074405
45,conjunction,11,58.738323,0.4358974358974359,3.2951645997615544
45,conjunction,12,49.707297,0.5641025641025641,2.4649304812179875
45,conjunction,13,58.553673,0.46153846153846156,3.279506112204998
45,conjunction,14,56.224058,0.5384615384615384,3.0775975741443653
46,feature,1,22.220787,0.7692307692307693,-1.5391338570303559
46,feature,2,21.229997,0.717948717948718,-1.7659781219021864
46,feature,3,23.053861,0.6666666666666666,-1.3560938444998227
46,feature,4,25.101701,0.7435897435897436,-0.9328602970389402
46,feature,5,24.405104,0.8205128205128205,-1.0728235030315216
46,feature,6,25.116592,0.6923076923076923,-0.9299109189621827
46,feature,7,24.234276,0.5897435897435898,-1.107756941041209
46,feature,8,23.688472,0.6666666666666666,-1.2210445204607026
46,feature,9,25.094489,0.6410256410256411,-0.9342893669792723
46,feature,10,23.342208,0.6153846153846154,-1.2942767824155839
46,feature,11,28.481495,0.6923076923076923,-0.30464706182926593
46,feature,12,21.286786,0.6923076923076923,-1.7526927841286895
46,feature,13,23.738256,0.5384615384615384,-1.210603683797431
46,feature,14,24.279981,0.7692307692307693,-1.098386436512402
46,feature,15,22.728653,0.6923076923076923,-1.4267479505551703
46,feature,16,21.209003,0.717948717948718,-1.770898501442524
46,feature,17,24.470208,0.6666666666666666,-1.059574386977949
46,feature,18,22.95561,0.5897435897435898,-1.3773340599249464
46,feature,19,24.361654,0.5641025641025641,-1.0816855598176855
46,feature,20,24.309879,0.7435897435897436,-1.0922662442953341
46,conjunction,1,39.75742,0.5897435897435898,1.3541334951256268
46,conjunction,2,32.975097,0.6666666666666666,0.4239214571945975
46,conjunction,3,35.200902,0.48717948717948717,0.7487681839890157
46,conjunction,4,46.641604,0.717948717948718,2.1483405906017703
46,conjunction,5,37.887225,0.6410256410256411,1.1145108217982258
46,conjunction,7,35.806957,0.41025641025641024,0.8336636866332755
46,conjunction,8,40.167861,0.5897435897435898,1.4052120851606873
46,conjunction,9,32.031458,0.5128205128205128,0.27952792012237715
46,conjunction,10,28.960951,0.5384615384615384,-0.22162482377954706
46,conjunction,11,26.184627,0.5897435897435898,-0.7228066387391099
46,conjunction,12,50.182762,0.6410256410256411,2.512274822778321
46,conjunction,13,33.646905,0.5897435897435898,0.5242237199801311
46,conjunction,15,30.744456,0.717948717948718,0.07558175084952864
46,conjunction,16,27.236225,0.6923076923076923,-0.5269836992424225
46,conjunction,17,31.735656,0.717948717948718,0.23338809152080042
46,conjunction,18,32.960835,0.6923076923076923,0.4217700292404736
46,conjunction,19,37.145553,0.6410256410256411,1.016190448165838
46,conjunction,20,44.061958,0.5897435897435898,1.8653829517442442
47,feature,1,36.525984,0.6923076923076923,0.932539916453602
47,feature,2,28.181484,0.6666666666666666,-0.3573106385043817
47,feature,3,38.892681,0.6410256410256411,1.244770151423609
47,feature,4,31.696537,0.6923076923076923,0.22725405170219587
47,feature,5,30.162127,0.5897435897435898,-0.019519435545810378
47,feature,6,31.654917,0.5897435897435898,0.22071952602220096
47,feature,7,31.904109,0.6153846153846154,0.2597162033797148
47,feature,8,32.01621,0.5128205128205128,0.27715993980833536
47,feature,10,31.897412,0.6153846153846154,0.25867216182202035
47,feature,11,31.264161,0.6923076923076923,0.15894670904338123
47,feature,12,34.324742,0.6410256410256411,0.6234165755142621
47,feature,13,35.646821,0.6153846153846154,0.8113725083894001
47,feature,14,30.97826,0.6153846153846154,0.11325885395427049
47,feature,15,30.761502,0.6410256410256411,0.07833835131742126
47,feature,16,33.518123,0.5641025641025641,0.5051523884797463
47,feature,17,31.960279,0.6153846153846154,0.2684643146578381
47,feature,18,28.574216,0.5897435897435898,-0.28848309743462136
47,feature,19,32.695698,0.6666666666666666,0.38160359581205405
47,feature,20,32.792778,0.7435897435897436,0.39634822039944023
47,conjunction,1,53.258321,0.5384615384615384,2.808094831519138
47,conjunction,6,37.091879,0.46153846153846156,1.0089991116034405
47,conjunction,8,42.881473,0.5384615384615384,1.7303253896863346
47,conjunction,10,37.724117,0.7435897435897436,1.0930543896528981
47,conjunction,12,39.807258,0.5897435897435898,1.3603637938555604
47,conjunction,16,35.363406,0.5641025641025641,0.7716741311201478
47,conjunction,17,35.233682,0.717948717948718,0.7533972304986845
48,feature,1,26.323235,0.6410256410256411,-0.6965503410129492
48,feature,2,26.702078,0.6666666666666666,-0.6254859671960478
48,feature,3,24.960422,0.6666666666666666,-0.9609300131204597
48,feature,4,25.582243,0.7435897435897436,-0.8385536117283039
48,feature,5,27.484498,0.6923076923076923,-0.4818553795966064
48,feature,6,25.32176,0.7435897435897436,-0.8894514992431978
48,feature,7,24.851485,0.717948717948718,-0.9826826270809106
48,feature,8,24.484072,0.7435897435897436,-1.056757519527582
48,feature,9,28.943521,0.5641025641025641,-0.22461883767774635
48,feature,10,27.330611,0.717948717948718,-0.5097789732697341
48,feature,11,27.122777,0.5384615384615384,-0.5477421298912721
48,feature,12,27.147882,0.5897435897435898,-0.5431410086297083
48,feature,13,23.815032,0.717948717948718,-1.1945448565632562
48,feature,14,26.601509,0.5897435897435898,-0.6442521840018601
48,feature,15,25.312989,0.5897435897435898,-0.8911744345529637
48,feature,16,23.342895,0.6666666666666666,-1.2941304141477061
48,feature,17,26.920173,0.7692307692307693,-0.585031025427781
48,feature,18,26.802527,0.5384615384615384,-0.6068125636279228
48,feature,19,25.44225,0.717948717948718,-0.8658432154798044
48,feature,20,24.972956,0.717948717948718,-0.9584333078962642
48,conjunction,1,38.238929,0.6153846153846154,1.160463944213403
48,conjunction,2,35.884905,0.6410256410256411,0.8444781208976698
48,conjunction,3,37.878006,0.48717948717948717,1.1133005514780667
48,conjunction,4,40.258403,0.6410256410256411,1.416409580477656
48,conjunction,6,38.935927,0.5897435897435898,1.250296970441761
48,conjunction,7,34.618167,0.6153846153846154,0.6657495367570602
48,conjunction,8,33.373813,0.717948717948718,0.4836942594445671
48,conjunction,9,37.612387,0.6153846153846154,1.0783029919472633
48,conjunction,10,33.297485,0.6153846153846154,0.4723071451467429
48,conjunction,11,31.30969,0.5128205128205128,0.16618379652076148
48,conjunction,12,31.483584,0.5384615384615384,0.19372869003948173
48,conjunction,13,31.234422,0.5897435897435898,0.15421383724790666
48,conjunction,14,34.279052,0.6153846153846154,0.616792250907135
48,conjunction,15,32.609756,0.5384615384615384,0.36851404415034966
48,conjunction,16,32.427495,0.6666666666666666,0.34063992018614503
48,conjunction,17,36.365892,0.5641025641025641,0.9106945306785971
48,conjunction,18,30.665598,0.5897435897435898,0.06280927661207535
48,conjunction,19,30.950709,0.6923076923076923,0.10883386630181315
