observer,condition,trial,time_taken,acc
5,conjunction,1,30.347473,0.46153846153846156
5,conjunction,2,34.817647,0.6666666666666666
5,conjunction,4,31.993391,0.5641025641025641
5,conjunction,5,30.437751,0.6153846153846154
5,conjunction,6,30.721289,0.6153846153846154
5,conjunction,7,31.145305,0.5641025641025641
5,conjunction,8,40.537202,0.717948717948718
5,conjunction,9,33.369284,0.6923076923076923
5,conjunction,10,37.767833,0.4358974358974359
5,conjunction,11,35.799531,0.6153846153846154
5,conjunction,12,33.566538,0.717948717948718
5,conjunction,13,34.535302,0.717948717948718
5,conjunction,14,34.671855,0.5384615384615384
5,conjunction,15,33.51805,0.5897435897435898
5,conjunction,16,33.910819,0.6153846153846154
5,conjunction,17,32.806115,0.6410256410256411
5,conjunction,18,27.775989,0.6410256410256411
5,conjunction,19,29.499982,0.6410256410256411
5,conjunction,20,26.480891,0.48717948717948717
6,feature,1,23.943581,0.717948717948718
6,feature,2,25.046447,0.5897435897435898
6,feature,3,24.021822,0.7948717948717948
6,feature,4,24.938492,0.7692307692307693
6,feature,5,27.362402,0.717948717948718
6,feature,6,24.332158,0.8461538461538461
6,feature,7,25.999315,0.717948717948718
6,feature,8,24.572234,0.6923076923076923
6,feature,9,24.810488,0.7692307692307693
6,feature,10,24.922713,0.6923076923076923
6,feature,11,23.806316,0.6153846153846154
6,feature,12,21.567883,0.6666666666666666
6,feature,13,24.896196,0.6666666666666666
6,feature,14,23.208434,0.717948717948718
6,feature,15,22.977405,0.7948717948717948
6,feature,16,23.91911,0.6666666666666666
6,feature,17,24.14899,0.7948717948717948
6,feature,18,20.81835,0.7948717948717948
6,feature,19,22.863889,0.6153846153846154
6,feature,20,24.791146,0.6666666666666666
6,conjunction,2,38.581087,0.5384615384615384
6,conjunction,5,36.112206,0.6153846153846154
6,conjunction,6,40.776483,0.5384615384615384
6,conjunction,7,35.221443,0.7692307692307693
6,conjunction,8,37.330922,0.5897435897435898
6,conjunction,9,36.432812,0.6410256410256411
6,conjunction,10,35.667093,0.7435897435897436
6,conjunction,12,34.964941,0.6666666666666666
6,conjunction,13,31.366314,0.6410256410256411
6,conjunction,14,28.662083,0.7435897435897436
6,conjunction,15,35.433434,0.5128205128205128
6,conjunction,16,26.803629,0.6410256410256411
6,conjunction,17,28.169403,0.5384615384615384
6,conjunction,18,31.622281,0.7435897435897436
6,conjunction,20,25.214282999999998,0.8205128205128205
7,feature,1,32.000876,0.8974358974358975
7,feature,2,35.782664,0.8461538461538461
7,feature,3,32.504415,0.7435897435897436
7,feature,4,34.101429,0.6923076923076923
7,feature,5,28.585192,0.8205128205128205
7,feature,6,29.986713,0.7692307692307693
7,feature,7,26.370486,0.717948717948718
7,feature,9,30.829769,0.5897435897435898
7,feature,10,32.752259,0.6666666666666666
7,feature,11,30.683441,0.6153846153846154
7,feature,12,30.486898,0.6153846153846154
7,feature,13,34.5385,0.6923076923076923
7,feature,14,30.338565,0.717948717948718
7,feature,15,30.426446,0.6410256410256411
7,feature,16,34.345408,0.5897435897435898
7,feature,17,30.194191,0.6410256410256411
7,feature,18,32.97561,0.7435897435897436
7,feature,19,29.907914,0.6410256410256411
7,feature,20,30.496968,0.7948717948717948
7,conjunction,1,58.557145,0.5897435897435898
7,conjunction,2,39.856354,0.5641025641025641
7,conjunction,3,42.915963,0.717948717948718
7,conjunction,4,46.067561,0.5641025641025641
7,conjunction,5,41.506402,0.5384615384615384
7,conjunction,7,37.847442,0.5384615384615384
7,conjunction,8,54.796386,0.4358974358974359
7,conjunction,9,37.531006,0.5897435897435898
7,conjunction,10,51.710893,0.5897435897435898
7,conjunction,12,39.105944,0.6153846153846154
7,conjunction,13,42.086052,0.5128205128205128
7,conjunction,14,45.665715,0.5897435897435898
7,conjunction,15,43.048621,0.5128205128205128
7,conjunction,16,51.734933,0.38461538461538464
7,conjunction,17,36.615261,0.6666666666666666
7,conjunction,18,59.017261,0.5128205128205128
7,conjunction,20,53.092344,0.48717948717948717
8,feature,1,37.29591,0.5897435897435898
8,feature,2,34.535502,0.5641025641025641
8,feature,3,30.600992,0.7692307692307693
8,feature,4,33.958003,0.6666666666666666
8,feature,5,32.671498,0.6666666666666666
8,feature,6,33.581674,0.6410256410256411
8,feature,7,30.056245,0.7435897435897436
8,feature,8,31.666542,0.6923076923076923
8,feature,9,32.728007,0.6410256410256411
8,feature,10,30.796477,0.6923076923076923
8,feature,11,34.146962,0.6410256410256411
8,feature,12,32.168366,0.6923076923076923
8,feature,13,28.862845,0.5128205128205128
8,feature,14,30.801534,0.6923076923076923
8,feature,15,30.144498,0.717948717948718
8,feature,16,31.855184,0.6923076923076923
