observer,condition,trial,targ_type,x,y,found
1,1,2,0,1.1483698055017468,0.3595405137394649,17
1,1,2,0,1.262122032179189,0.7463112500233616,18
1,1,2,0,1.1142441374985141,1.0744803595975772,19
1,1,2,1,0.7047361214597219,1.0393193835717682,20
1,1,2,1,0.9777414654855834,0.9924380822040232,21
1,1,2,1,0.6706104534564892,0.25405758566203845,22
1,1,2,1,0.6933608987919777,-0.1444334759637946,23
1,1,2,1,0.5454830041113027,-0.15615380130573084,24
1,1,2,0,0.45448122276934877,0.007930753481376871,25
1,1,2,0,0.2838528827531853,0.05481205484912194,26
1,1,2,1,0.13597498807251038,-0.20303510267347594,27
1,1,2,1,-0.626164930666353,-0.9882969005832059,28
1,1,2,1,-0.8536693840212377,-1.0351782019509508,29
1,1,2,0,-0.67166582133733,-1.2813050341316123,30
1,1,3,1,0.0222227613950681,-0.5780855136154364,1
1,1,3,0,0.14735021074025462,-0.6835684416928628,2
1,1,3,1,0.863989238808141,-0.3436790067767111,3
1,1,3,1,1.1256193601662585,-0.5312042122476914,4
1,1,3,0,1.5920034895437718,-0.4843229108799463,5
1,1,3,1,1.6488796028824932,-0.777331044428353,6
1,1,3,1,1.3644990361888871,-1.1992627567380585,7
1,1,3,0,1.1597450281694912,-1.3633473115251662,8
1,1,3,0,0.8526140161403969,-1.5625928423380826,9
1,1,3,0,0.6706104534564892,-1.4219489382348476,10
1,1,3,1,0.8298635708049085,-1.2461440581058036,11
1,1,3,0,1.0573680241597931,-1.0468985272928872,12
1,1,3,1,0.8753644614758854,-0.9648562498993332,13
1,1,3,0,0.6137343401177681,-0.9765765752412694,14
1,1,3,1,0.4999821134403257,-0.8476529964799705,15
1,1,3,1,0.659235230788745,-0.5663651882735001,16
1,1,3,0,0.6933608987919777,-0.1444334759637946,17
1,1,3,0,0.6251095627855122,0.05481205484912194,18
1,1,3,0,0.6706104534564892,0.25405758566203845,19
1,1,3,0,0.6137343401177681,0.5119047431846363,20
1,1,3,1,0.39760510943062766,0.629107996603999,21
1,1,3,0,0.26110243741769695,0.5470657192104451,22
1,1,3,0,-0.011902906608164595,0.5939470205781902,23
1,1,3,1,-0.2735330279662819,0.3360998630555923,24
1,1,3,0,-0.6147897079986088,0.37126083908140106,25
1,1,3,1,-0.8877950520244704,0.30093888702978355,26
1,1,3,0,-1.0242977240374012,0.1368543322426758,27
1,1,3,1,-1.4451809627439376,-0.5194838869057551,28
1,1,3,1,-1.6840606387665664,-0.4140009588283287,29
1,1,3,1,-2.059442986802126,-0.7304497430606078,30
1,1,4,1,0.0222227613950681,-0.5780855136154364,1
1,1,4,0,-0.2735330279662819,-0.6015261642993089,2
1,1,4,1,-0.3872852546437242,-0.5429245375896277,3
1,1,4,1,-0.8195437160180049,-0.26163672938315724,4
1,1,4,1,-1.2404269547245417,-0.16787412664766713,5
1,1,4,0,-1.4110552947407051,-0.0037895718605593983,6
1,1,4,1,-1.4565561854116817,-0.3085180307509023,7
1,1,4,1,-1.6271845254278452,-0.6366871403251178,8
1,1,4,1,-1.7636871974407762,-0.7656107190864168,9
1,1,4,1,-1.7750624201085203,-1.0234578766090145,10
1,1,4,0,-1.6726854160988223,-1.3399066608412937,11
1,1,4,1,-0.9787968333664242,-1.1992627567380585,12
1,1,4,0,-0.717166712008307,-1.1055001540025684,13
1,1,4,1,-0.4100356999792127,-1.35162698618323,14
1,1,4,0,0.21560154674672002,-1.527431866312274,15
1,1,4,1,0.5682334494467911,-1.6446351197316367,16
1,1,4,1,0.6706104534564892,-1.8790416265703616,17
1,1,4,1,0.2838528827531853,-2.101727808067151,18
1,1,4,0,-0.5579135946598877,-2.0079652053316606,19
1,1,4,0,-0.8991702746922146,-1.8321603252026168,20
1,1,4,0,-1.0015472787019126,-1.000017225925142,21
1,1,4,1,-1.1152995053793548,-0.8007716951122255,22
1,1,4,0,-1.2518021773922858,-0.7890513697702891,23
1,1,4,0,-1.3314287360664954,-0.6718481163509266,24
1,1,4,1,-1.3769296267374722,0.3478201883975286,25
1,1,4,0,-1.2973030680632627,0.6173876712620627,26
1,1,4,1,-1.217676509389053,0.9924380822040232,27
1,1,4,1,-1.2063012867213088,1.156522636991131,28
